genres,movie_id,budget,title,popularity,release_date,revenue,ROI,Director
Drama,10707,1500000,The Squid and the Whale,10.952762,10/5/2005,11098131.0,639.8754,Noah Baumbach
Comedy,9910,35000000,Two for the Money,9.003792,10/7/2005,30526509.0,-12.781402857142856,D.J. Caruso
Crime,9910,35000000,Two for the Money,9.003792,10/7/2005,30526509.0,-12.781402857142856,D.J. Caruso
Drama,9910,35000000,Two for the Money,9.003792,10/7/2005,30526509.0,-12.781402857142856,D.J. Caruso
Thriller,9910,35000000,Two for the Money,9.003792,10/7/2005,30526509.0,-12.781402857142856,D.J. Caruso
Drama,142,14000000,Brokeback Mountain,11.787044,9/2/2005,178043761.0,1171.74115,Ang Lee
Romance,142,14000000,Brokeback Mountain,11.787044,9/2/2005,178043761.0,1171.74115,Ang Lee
Comedy,9621,57000000,Elizabethtown,11.82081,10/6/2005,52034889.0,-8.710721052631579,Cameron Crowe
Drama,9621,57000000,Elizabethtown,11.82081,10/6/2005,52034889.0,-8.710721052631579,Cameron Crowe
Romance,9621,57000000,Elizabethtown,11.82081,10/6/2005,52034889.0,-8.710721052631579,Cameron Crowe
Drama,9701,35000000,North Country,8.781298,2/12/2005,25224242.0,-27.930737142857144,Niki Caro
Drama,3291,7000000,"Good Night, and Good Luck.",7.523098,9/16/2005,54600000.0,680.0,George Clooney
History,3291,7000000,"Good Night, and Good Luck.",7.523098,9/16/2005,54600000.0,680.0,George Clooney
Action,16608,2000000,The Proposition,9.387212,10/6/2005,5048693.0,152.43465,John Hillcoat
Adventure,16608,2000000,The Proposition,9.387212,10/6/2005,5048693.0,152.43465,John Hillcoat
Crime,16608,2000000,The Proposition,9.387212,10/6/2005,5048693.0,152.43465,John Hillcoat
Drama,16608,2000000,The Proposition,9.387212,10/6/2005,5048693.0,152.43465,John Hillcoat
Thriller,16608,2000000,The Proposition,9.387212,10/6/2005,5048693.0,152.43465,John Hillcoat
Western,16608,2000000,The Proposition,9.387212,10/6/2005,5048693.0,152.43465,John Hillcoat
Horror,791,18000000,The Fog,9.929809,10/14/2005,46201432.0,156.6746222222222,Rupert Wainwright
Thriller,791,18000000,The Fog,9.929809,10/14/2005,46201432.0,156.6746222222222,Rupert Wainwright
Comedy,2610,10284523,Shopgirl,4.349046,10/21/2005,11588205.0,12.676154256254762,Anand Tucker
Drama,2610,10284523,Shopgirl,4.349046,10/21/2005,11588205.0,12.676154256254762,Anand Tucker
Romance,2610,10284523,Shopgirl,4.349046,10/21/2005,11588205.0,12.676154256254762,Anand Tucker
Mystery,8066,50000000,Stay,6.572049,9/24/2005,8342132.0,-83.315736,Marc Forster
Thriller,8066,50000000,Stay,6.572049,9/24/2005,8342132.0,-83.315736,Marc Forster
Drama,8066,50000000,Stay,6.572049,9/24/2005,8342132.0,-83.315736,Marc Forster
Action,1656,75000000,The Legend of Zorro,8.940007,10/24/2005,142400065.0,89.86675333333334,Martin Campbell
Adventure,1656,75000000,The Legend of Zorro,8.940007,10/24/2005,142400065.0,89.86675333333334,Martin Campbell
Comedy,6963,20000000,The Weather Man,8.345866,10/20/2005,12482775.0,-37.586124999999996,Gore Verbinski
Drama,6963,20000000,The Weather Man,8.345866,10/20/2005,12482775.0,-37.586124999999996,Gore Verbinski
Horror,215,4000000,Saw II,15.399863,10/28/2005,152925093.0,3723.127325,Darren Lynn Bousman
Action,10799,24000000,Empire of the Wolves,9.255441,4/20/2005,11875866.0,-50.517224999999996,Chris Nahon
Drama,1951,14200000,Manderlay,4.568999,5/16/2005,674918.0,-95.24705633802817,Lars von Trier
Action,25763,17000000,Damnation Alley,2.217704,9/10/1977,8720000.0,-48.705882352941174,Jack Smight
Adventure,25763,17000000,Damnation Alley,2.217704,9/10/1977,8720000.0,-48.705882352941174,Jack Smight
